address,district,city,price_eur,debt_free_price_eur,housing_company_loan_eur,room_count,size_sqm,floor,year_built,property_type,pipe_renovation_done,pipe_renovation_year,pipe_renovation_info,is_rented_out,monthly_cost_eur,hoitovastike_eur_month,tonttivuokra_eur_month,score,rank,nearest_stop,distance_m,lat,lon,_search_pass,listing_url
"Jokiniemenkuja 5 A 9, Jokiniemi, Vantaa",Jokiniemi,vantaa,169000.0,169000.0,,2,35.0,2/5,2020,kerrostalo,False,,,False,1059.82,357.0,,72,28,Jokiniemi,158,60.291331,25.054013,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23303762
"Satulakuja 2 A, Hakunila, Vantaa",Hakunila,vantaa,157000.0,157000.0,,2,48.0,2/9,2014,kerrostalo,False,,,False,925.34,283.2,,71,29,Hakunila,276,60.280183,25.10839,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24428359
"Tankomäenkatu 5 A, Vartioharju/Mellunkylä, Helsinki",Vartioharju/Mellunkylä,helsinki,142486.51,169000.0,26513.49,2,43.0,3/4,2016,kerrostalo,False,,,False,896.32,193.5,,70,30,,,,,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24566019
"Hiirakkokuja 6 A, Hakunila, Vantaa",Hakunila,vantaa,88998.2,108000.0,19001.8,3,79.0,4/5,1971,kerrostalo,True,2013,"e korjattiin Valmis/2013
Sokkelit maalattiin ja entisen kylmäkellarin eristeet uusittiin Valmis/2013
Saatettiin valmiiksi edellisenä vuonna aloitettu linjasaneeraus Valmis/2013
Käyttövesiputkisto uusittiin, Sähköjärjestelmä uusittiin, Telejärjestelmät uusittiin Valmis/2012
Putkiston linjasaneerauksen suunnitelmat",False,810.91,416.52,,70,50,Hevoshaanpolku,161,60.275303,25.105275,pipe_reno_2013,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24427675
"Orvokkikuja 6, Tikkurila, Vantaa",Tikkurila,vantaa,195916.32,199000.0,3083.68,2,64.5,2/6,2000,kerrostalo,False,,,False,1151.21,296.7,,70,31,Silkkitehdas,177,60.290359,25.03132,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24403039
"Puutarhatie 13 B, Koivuhaka, Vantaa",Koivuhaka,vantaa,158577.53,199000.0,40422.47,3,50.0,1/5,2023,kerrostalo,False,,,False,1204.51,350.0,,69,32,Koivuhaka,137,60.290776,25.006224,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24465126
"Hepokuja 7 A, Hakunila, Vantaa",Hakunila,vantaa,90981.56,148000.0,57018.44,4,86.5,8/10,1973,kerrostalo,True,2020,"on remontoitu putkiremontin yhteydessä yhtiön toimesta. Hoitovastike on kohtuullinen, vain 4,0 e/m2. 

Taloyhtiössä on tehty:
2020 - 2021 Perinteinen putkiremontti ja samalla yhtiö on siirtynyt maalämpöön.
2016 Hissien uusinta.
2008 - 2009 Julkisivusaneeraus ja julkisivun ikkunoiden uusinta.

Taloyhtiössä on pes",False,942.64,346.0,,68,51,Hevoshaanpolku,156,60.273431,25.106585,pipe_reno_2020,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24356402
"Väinö Tannerin tie 17, Pakkalanrinne, Vantaa",Pakkalanrinne,vantaa,199000.0,199000.0,,2,54.0,2/4,2008,kerrostalo,False,,,False,1075.91,221.4,,67,33,Backasbrinken/Pakkalanrinne,335,60.290286,24.946995,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24605695
"Väinö Tannerin tie 17, Pakkala, Vantaa",Pakkala,vantaa,191000.0,191000.0,,2,52.5,1/4,2008,kerrostalo,False,,,False,1029.31,215.25,,67,34,Backasbrinken/Pakkalanrinne,335,60.290286,24.946995,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24341914
"Kukantie 10, Koivuhaka, Vantaa",Koivuhaka,vantaa,199000.0,,,4,150.0,,,,True,2024,"ilytystilaa
Ominaisuudet
Paljon ikkunoita, Hyvä äänieristys
Kylpyhuoneen remontit
2024
Julkisivuremontti
2024
Kattoremontti
2024
Parvekeremontti
2024
Putkiremontti
2024
Tehdyt remontit
2024  uusittu katto Janla peltikate
2024  uusittu käyttövesiputket
2024  uusittu sähkökeskukset, mittarikeskus ja jakokeskus
202",False,854.51,,,67,35,Koivuhaka,457,60.29591,25.008574,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24432353
"Väinö Tannerin tie 17 C, Pakkala, Vantaa",Pakkala,vantaa,188661.63,189000.0,338.37,2,49.5,1/4,2008,kerrostalo,False,,,False,1006.89,202.95,,66,36,Backasbrinken/Pakkalanrinne,335,60.290286,24.946995,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24550427
"Hiirakkotie 2 D, Hakunila, Vantaa",Hakunila,vantaa,70579.85,112000.0,41420.15,2,54.0,2/9,1971,kerrostalo,True,2020,"inen. A-portaan hissin valoverho. C-portaan hissin kannatinköydet. 2020 Yleisten tilojen lukitus iLOQ-järjestelmään. Seinävalaisimien uusiminen. 2019 Linjasaneeraus: Kaikki vesi- ja viemäriputket (ei sadevesipystyviemärit). Sähkö-, tele-, antenni- ja puhelinkaapelit, kuituverkko. Kaikki saunat ja pukuhuoneet. Kai",False,661.21,246.6,,66,52,Hevoshaanpolku,242,60.275414,25.100669,pipe_reno_2020,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23873740
"Oritie 4, Hakunila, Vantaa",Hakunila,vantaa,79000.0,79000.0,461.0,2,52.5,1/6,1975,kerrostalo,True,2019,"Ikkunoiden suunta
Parveke ilta-aurinkoon, Olohuone ilta-aurinkoon
Näkymät
Puisto ja metsänäkymät
Kylpyhuoneen remontit
Tehty n.2019
Tulevat remontit
Linjasaneeraus ehkä 2028-2029 välillä. Ei päätöstä vielä.
Tehdyt remontit
Kylpyhuone/wc  v2018
Keittiön remontit
2025
Muut remontit
Koko asunto remontoitu 8/2025. L",False,641.51,393.75,,66,53,Hevoshaanpolku,282,60.271901,25.101125,pipe_reno_2019,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23637251
"Harmokuja 4, Hakunila, Vantaa",Hakunila,vantaa,61545.33,65000.0,,2,55.0,3/7,1977,kerrostalo,True,2018,"sisuihku, Kaapisto, Allas, WC-istuin, Peilikaappi
Säilytystilat
Kaapisto
Näkymät
Piha, Takapiha, Naapurusto
Julkisivuremontti
2018
Kattoremontti
2022
Putkiremontti
2025
Tehdyt remontit
2026 Korjaussuunnitelma, 2025 Lämmitys - Lämmön alakeskuksen uusiminen (Putkiteho Oy), 2025 Linjasaneeraus - putkiurakan hankesu",False,534.47,357.5,,65,54,Hakunila,287,60.277694,25.100828,pipe_reno_2018,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24630066
"Kuulakuja 3, Länsimäki, Vantaa",Länsimäki,vantaa,51717.0,98000.0,46283.0,2,59.0,4/5,1972,kerrostalo,True,,"yppi
Kerrostalo
Kaupunginosa
Länsimäki
Kaupunki
Vantaa

Lisää suosikiksi
Jaa tämä kohde
Siisti kaksio

Heti vapaa neljännen kerroksen päätyhuoneisto. Putkisaneeraus tehty. Kuulakujan Alepa aivan vieressä.

Seuraavat esittelyt

Ei sovittuja esittelyitä. Ota yhteyttä kohteen ilmoittajaan sopiaksesi esittelystä.

Va",False,638.83,295.0,,64,55,Länsimäki,130,60.245069,25.110048,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24669986
"Rajakyläntie 2B A3, Rajakylä, Vantaa",Rajakylä,vantaa,62677.32,124000.0,61322.68,1,21.0,1/2,2016,luhtitalo,False,,,True,670.59,195.3,,64,3,,,,,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23307800
"Jokiniemenkuja 7, Jokiniemi, Vantaa",Jokiniemi,vantaa,129000.0,129000.0,,2,31.5,1/6,2020,kerrostalo,False,,,False,821.87,321.3,,64,37,Jokiniemi,305,60.292224,25.056225,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23822944
"Kuulakuja 3 A, Länsimäki, Vantaa",Länsimäki,vantaa,62179.18,109000.0,46820.82,2,59.0,3/5,1972,kerrostalo,True,,"Asunto sijaitsee hissitalon 3. kerroksessa (3/5) vuonna 1972 valmistuneessa taloyhtiössä, joka on omalla tontilla. Taloyhtiössä on juuri valmistunut linjasaneeraus, mikä tuo huolettomuutta asumiseen vuosiksi eteenpäin.

Asunnon pohjaratkaisu on toimiva ja tilat helposti kalustettavissa. Kodin kunto on tyydyttävä",False,694.44,295.0,,64,56,Länsimäki,84,60.244718,25.110505,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24335654
"Kuunlilja 1 C, Tikkurila, Vantaa",Tikkurila,vantaa,144557.59,198000.0,53442.41,2,44.5,2/2,2020,kerrostalo,False,,,True,1089.75,240.3,,62,4,,,,,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24537372
"Hiirakkotie 10, Hakunila, Vantaa",Hakunila,vantaa,62193.28,89000.0,,2,61.0,2/3,1973,kerrostalo,True,,"mä kohde
2h, k, kph
Valoisa 2/3 kerroksen läpitalon huoneisto, jolla lasitettu eteläparveke. Hyvin hoidettu taloyhtiö, johon on tehty julkisivu- sekä putkiremontti, jonka yhteydessä uusittu kylpyhuone. Hyvässä kunnossa oleva kaksio rauhallisella alueella. Kävelymatkan päässä Hakunilan palvelut. Julkinen liikenne",False,593.52,295.2,,61,57,Hevoshaanpolku,279,60.274629,25.099093,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24653471
"Tädyketie 6 D, Tikkurila, Vantaa",Tikkurila,vantaa,162000.0,162000.0,,1,36.0,4/6,2003,kerrostalo,False,,,False,824.75,157.32,,61,38,,,,,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24541245
"Junkkarinkaari 3, Kartanonkoski, Vantaa",Kartanonkoski,vantaa,189000.0,189000.0,,2,47.5,2/4,2004,kerrostalo,False,,,False,1065.19,261.25,,61,39,Pakkala,284,60.287558,24.961534,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24514833
"Raudikkokuja 6 B, Hakunila, Vantaa",Hakunila,vantaa,96420.85,134000.0,37579.15,3,72.5,5/8,1976,kerrostalo,True,,"sta tekoälyllä -painikkeesta pääset vaihtamaan sisustustyyliä ja näet eron heti!

Kokeile sisustusta tästä
 
Lisää suosikiksi
Jaa tämä kohde
Valoisa, linjasaneerattu ja hyväkuntoinen kolmio huippusijainnilla – upeat metsäiset näkymät
Tervetuloa tutustumaan tähän vuonna 1976 valmistuneeseen, 72,5 m²:n kokoiseen vii",False,858.77,332.92,,60,58,Hakunila,99,60.277173,25.106645,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24305603
"Hepokuja 6 C, Hakunila, Vantaa",Hakunila,vantaa,99315.48,139000.0,39684.52,3,79.0,5/6,1971,kerrostalo,True,,"to on viihtyisä, valoisa ja pintoja on päivitetty vuosien saatossa.

Taloyhtiö sijaitsee omalla tontillaan ja sitä on hoidettu suunnitelmallisesti mm linjasaneeraus on jo tehty. Hoitovastike on edullinen, vain 4,60 €/m2. Vesimaksu kulutuksen mukaan, huoneistoissa omat vesimittarit.Toimiva pohjaratkaisu tekee täst",False,914.13,363.0,,60,59,Hevoshaanpolku,136,60.273921,25.106463,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24563374
"Rajakentänkuja 4 A, Länsimäki, Vantaa",Länsimäki,vantaa,73645.74,120000.0,46354.26,2,51.0,7/9,1971,kerrostalo,True,2025,"ksessa, tarjoten upeat näkymät puiden yli. Asunto on osa hyvin hoidettua taloyhtiötä, jossa on tehty merkittäviä peruskorjauksia viime vuosina, kuten linjasaneeraus ja kylpyhuoneiden uusiminen vuonna 2025.

Asunnossa on käytännöllinen pohjaratkaisu, jossa keittiö ja olohuone muodostavat viihtyisän kokonaisuuden.",False,750.86,295.8,,60,60,Länsimäki,272,60.246335,25.109531,pipe_reno_2025,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24320160
"Pehtoorintie 2, Pakkala, Vantaa",Pakkala,vantaa,115797.36,184000.0,68202.64,2,46.5,1/4,2012,kerrostalo,False,,,False,1034.41,255.75,,59,40,Pakkala,356,60.286839,24.959025,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24305457
"Rajakentäntie 4 B, Länsimäki, Vantaa",Länsimäki,vantaa,59466.21,107000.0,47533.79,2,60.0,8/9,1971,kerrostalo,True,2025,"ti remontoitu linjasaneerauksen yhteydessä. 

Taloyhtiöllä on oma tontti ja sitä on hoidettu kattavasti vuosien saatossa. Viimeisimpänä on toteutettu linjasaneeraus joka valmistui 2025 vuoden aikana. 

Rajakylä on erityisesti lapsiperheiden suosima alue aivan Vantaan ja Helsingin rajalla. Mellunmäen metrolle on n",False,694.08,304.75,,58,61,Länsimäki,302,60.246687,25.111798,pipe_reno_2025,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24671724
"Hiirakkotie 8 A, Hakunila, Vantaa",Hakunila,vantaa,91412.4,149000.0,57587.6,3,79.5,1/3,1973,kerrostalo,True,2023,"uuttaminen maksulliseksi
2023-2024 Vesikaton kuntotutkimus ja kuntotutkimukseen kirjattujen korjauksien suoritus
2022 Kerrostaso-ovien uusiminen
2020 Linjasaneeraus
2019 Linjasaneeraus hanke- ja toteutussuunnittelu
2018 Katon huoltokorjauksia
2018 Poistokanavien puhdistus ja ilmamäärien säätö
2018 Paineenalennusv",False,924.69,323.0,,58,62,Hevoshaanpolku,242,60.275414,25.100669,pipe_reno_2023,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24359151
"Uotinmäentie 11 D 33, Mellunkylä, Helsinki",Mellunkylä,helsinki,126000.0,126000.0,,2,55.0,3/3,1968,kerrostalo,True,2024,"aapin lisäksi iso pakastin, sekä keraaminen liesi. Makuuhuoneen seinät maalattu 2024. Ikkunat, sekä parvekkeen ovi uusittu 2024. Pesutilat uusittu ja putkiremontti tehty 2015. Wc:ssä pyykinpesukone, joka ostettu uutena 7/2024. Asunnossa runsaasti säilytystilaa, lisäksi reilun kokoinen kellarikomero. Eteisessä ko",True,826.4,341.0,,58,5,Mellunmäki,413,60.236699,25.114868,pipe_reno_2024,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/23669883
"Hepokuja 9, Hakunila, Vantaa",Hakunila,vantaa,98000.0,,,3,58.5,2/10,1974,kerrostalo,True,,"Kaupunki
Vantaa
 
Lisää suosikiksi
Jaa tämä kohde
Putkiremontoitu ja uusi keittiö
Myydään vuokrattu, hyväkuntoinen asunto, jossa on juuri valmistunut putkiremontti sekä tänä vuonna tehty moderni keittiöremontti –  huoleton sijoituskohde tai tuleva koti.

Sijainti on erinomainen: rauhallinen mutta keskeinen alue",False,343.83,,,57,63,Hevoshaanpolku,213,60.272446,25.106246,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23015854
"Lähdepuistontie 5 A, Kuussilta, Vantaa",Kuussilta,vantaa,57127.7,62000.0,4872.3,2,40.5,5/6,,,False,,,False,364.3,202.5,,56,41,Vaarala,244,60.265198,25.102541,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24551102
"Jokiniemenkuja 3, Tikkurila, Vantaa",Tikkurila,vantaa,145000.0,145000.0,,1,28.5,4/5,2019,kerrostalo,False,,,False,581.47,,,55,42,,,,,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/17739438
"Lähdepuistontie 13 C, Vaarala, Vantaa",Vaarala,vantaa,81776.32,82000.0,223.68,2,40.5,6/6,,,False,,,False,465.43,202.5,,54,43,Vaarala,244,60.265198,25.102541,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24338163
"Neilikkatie 7 C, Tikkurila, Vantaa",Tikkurila,vantaa,153429.99,200000.0,46570.01,2,59.0,3/6,1970,kerrostalo,True,2020,"tuksen korjaus, 2020-2022: normaaleja korjaus- ja huoltotoimenpiteitä, 2019: piha-alueen osittainen kunnostus, 2018-2019: LVIS-saneeraus, perinteinen linjasaneeraus sisältäen kylpyhuonesaneeraukset, sähkö- ja vesijohtojen uusimisen, saunatilan saneerauksen, yleiskaapeloinnin, lisäksi lukoston uusiminen Ilog ja On",False,1154.56,295.0,,53,64,Tikkuraitti,234,60.290926,25.037682,pipe_reno_2020,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24467300
"Harmokuja 6, Hakunila, Vantaa",Hakunila,vantaa,69600.0,69600.0,,2,56.0,2/9,,,False,,,False,511.19,310.96,,50,44,Hakunila,264,60.277267,25.10145,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24642357
"Neilikkatie 14, Tikkurila, Vantaa",Tikkurila,vantaa,182000.0,182000.0,,3,74.5,,,,False,,,True,1155.95,387.4,,50,7,Silkkitehdas,197,60.290734,25.032257,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23252040
"Mellunmäenraitio 2 A, Mellunmäki, Helsinki",Mellunmäki,helsinki,71381.09,79000.0,7618.91,2,44.0,3/3,,,False,,,False,562.86,315.1,,49,45,Mellunmäki,90,60.239784,25.108596,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24522983
"Hiirakkotie 2 D, Hakunila, Vantaa",Hakunila,vantaa,89564.41,149000.0,59435.59,4,93.0,7/9,1971,kerrostalo,True,,"hengähtää arjen kiireistä. Taloyhtiössä on sauna, runsaasti varastotilaa sekä asumisen huolettomuutta lisää se, että yhtiön suurimmat remontit, kuten putkiremontti ja julkisivuremontti, on jo toteutettu. Asunto on erinomainen vaihtoehto myös sijoittajalle, sillä se on tällä hetkellä vuokrattuna.

Alue kehittyy j",False,958.97,357.28,,48,65,Hevoshaanpolku,242,60.275414,25.100669,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24602268
"Peltolantie 9 D, Tikkurila, Vantaa",Tikkurila,vantaa,144375.74,175000.0,30624.26,2,49.5,3/4,1975,kerrostalo,True,,"inpinta-ala
49,5 m²
Huoneita
2
Kerros
3 / 4
Rakennusvuosi
1975
Rakennuksen tyyppi
Kerrostalo
Kaupunginosa
Tikkurila
Kaupunki
Vantaa
Jaa tämä kohde

+ Linjasaneerattu yhtiö
+ Hissi
+ Oma tontti
+ Viilentävä ilmalämpöpumppu

Valoisa ja lämminhenkinen kaksio Tikkurilan parhaalla paikalla. Muuttovalmis koti sinulle, j",False,955.91,222.75,,46,66,Koivuhaka,329,60.294107,25.010188,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24674404
